Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut.
"Sat, 22 Jul 1961",ST,,NZL v FRA,13-6,2:0,4-0,"Eden Park, Auckland",
"Sat, 05 Aug 1961",TO,1,SAF v AUS,28-3,8:0,5-0,"Ellis Park, Johannesburg",
"Sat, 05 Aug 1961",ST,,NZL v FRA,5-3,1:1,4-1,"Athletic Park, Wellington",
"Sat, 12 Aug 1961",TO,2,SAF v AUS,23-11,3:1,4-0,"Boet Erasmus, Pt Elizabeth",
"Sat, 19 Aug 1961",ST,,NZL v FRA,32-3,5:1,5-0,"Lancaster Park, Christchurch",
"Sat, 26 Aug 1961",TO,,AUS v FRA,8-15,1:3,0-4,"Cricket Ground, Sydney",
"Sun, 12 Nov 1961",,,FRA v ROM,5-5,1:1,2-2,Bayonne,
"Sun, 13 Jan 1962",5N,,SCO v FRA,3-11,0:1,0-4,"Murrayfield, Edinburgh",
"Sun, 20 Jan 1962",5N,,ENG v WAL,0-0,0:0,2-2,"Twickenham, London",
"Sat, 03 Feb 1962",5N,,WAL v SCO,3-8,0:2,1-4,Cardiff Arms Park,
"Sat, 10 Feb 1962",5N,,ENG v IRE,16-0,3:0,4-0,"Twickenham, London",
"Sat, 24 Feb 1962",5N,,IRE v SCO,6-20,1:3,0-4,"Lansdowne Rd, Dublin",
"Sat, 24 Feb 1962",5N,,FRA v ENG,13-0,3:0,4-0,"Stade Colombes, Paris",
"Sat, 17 Mar 1962","5N,CA",,SCO v ENG,3-3,0:0,2-2,"Murrayfield, Edinburgh",
"Sat, 24 Mar 1962",5N,,WAL v FRA,3-0,0:0,4-1,Cardiff Arms Park,
"Sat, 14 Apr 1962",5N,,FRA v IRE,11-0,3:0,4-0,"Stade Colombes, Paris",
"Sun, 22 Apr 1962",,,ITA v FRA,3-6,0:1,1-4,Brescia,
"Sat, 26 May 1962",BC,n,AUS v NZL,6-20,0:4,0-5,"Exhibition Ground, Brisbane",
"Mon, 04 Jun 1962",BC,n,AUS v NZL,5-14,1:2,0-4,"Cricket Ground, Sydney",
"Sun, 10 Jun 1962",,,ROM v ITA,14-6,3:0,4-0,Bucharest,
"Sat, 23 Jun 1962",LT,1,SAF v LIO,3-3,1:1,2-2,"Ellis Park, Johannesburg",
"Sat, 21 Jul 1962",LT,2,SAF v LIO,3-0,0:0,4-1,"Kings Park Stadium, Durban",
"Sat, 04 Aug 1962",LT,3,SAF v LIO,8-3,1:0,4-1,"Newlands, Cape Town",
"Sat, 25 Aug 1962",LT,4,SAF v LIO,34-14,6:3,5-0,"Vodacom Park, Bloemfontein",
"Sat, 25 Aug 1962",BC,n,NZL v AUS,9-9,1:0,2-2,"Athletic Park, Wellington",
"Sat, 08 Sep 1962",BC,n,NZL v AUS,3-0,0:0,4-1,"Carisbrook, Dunedin",
"Sat, 22 Sep 1962",BC,n,NZL v AUS,16-8,3:1,4-0,"Eden Park, Auckland",
"Sun, 11 Nov 1962",,,ROM v FRA,3-0,0:0,4-1,Bucharest,
"Sat, 17 Nov 1962",5N,,IRE v WAL,3-3,0:0,2-2,"Lansdowne Rd, Dublin",
"Sun, 12 Jan 1963",5N,,FRA v SCO,6-11,0:1,1-4,"Stade Colombes, Paris",
"Sun, 19 Jan 1963",5N,,WAL v ENG,6-13,1:2,0-4,Cardiff Arms Park,
"Sun, 26 Jan 1963",5N,,IRE v FRA,5-24,1:4,0-5,"Lansdowne Rd, Dublin",
"Sat, 02 Feb 1963",5N,,SCO v WAL,0-6,0:0,0-4,"Murrayfield, Edinburgh",
"Sat, 09 Feb 1963",5N,,IRE v ENG,0-0,0:0,2-2,"Lansdowne Rd, Dublin",
"Sat, 23 Feb 1963",5N,,ENG v FRA,6-5,0:1,4-1,"Twickenham, London",
"Sat, 23 Feb 1963",5N,,SCO v IRE,3-0,0:0,4-1,"Murrayfield, Edinburgh",
"Sat, 09 Mar 1963",5N,,WAL v IRE,6-14,1:1,0-4,Cardiff Arms Park,
"Sat, 16 Mar 1963","5N,CA",,ENG v SCO,10-8,2:1,4-1,"Twickenham, London",
"Sat, 23 Mar 1963",5N,,FRA v WAL,5-3,1:0,4-1,"Stade Colombes, Paris",
"Sun, 14 Apr 1963",,,FRA v ITA,14-12,4:2,5-1,Grenoble,
"Sat, 25 May 1963",ST,1,NZL v ENG,21-11,3:1,4-0,"Eden Park, Auckland",
"Sat, 01 Jun 1963",ST,2,NZL v ENG,9-6,2:1,4-1,"Lancaster Park, Christchurch",
"Tue, 04 Jun 1963",ST,,AUS v ENG,18-9,4:3,5-0,"Sports Ground, Sydney",
"Sat, 13 Jul 1963",TO,1,SAF v AUS,14-3,2:1,4-0,"Loftus Versfeld, Pretoria",
"Sat, 10 Aug 1963",TO,2,SAF v AUS,5-9,0:1,1-4,"Newlands, Cape Town",
"Sat, 24 Aug 1963",TO,3,SAF v AUS,9-11,0:1,1-4,"Ellis Park, Johannesburg",
"Sat, 07 Sep 1963",TO,4,SAF v AUS,22-6,3:0,4-0,"Boet Erasmus, Pt Elizabeth",
"Sat, 07 Dec 1963",TO,,IRE v NZL,5-6,1:1,1-4,"Lansdowne Rd, Dublin",
"Sun, 15 Dec 1963",,,FRA v ROM,6-6,2:1,2-2,Stade Toulouse,
"Sat, 21 Dec 1963",TO,,WAL v NZL,0-6,0:0,0-4,Cardiff Arms Park,
"Sun, 04 Jan 1964",TO,,ENG v NZL,0-14,0:2,0-4,"Twickenham, London",
"Sun, 04 Jan 1964",5N,,SCO v FRA,10-0,2:0,4-0,"Murrayfield, Edinburgh",
"Sun, 18 Jan 1964",TO,,SCO v NZL,0-0,0:0,2-2,"Murrayfield, Edinburgh",
"Sun, 18 Jan 1964",5N,,ENG v WAL,6-6,2:2,2-2,"Twickenham, London",
"Sat, 01 Feb 1964",5N,,WAL v SCO,11-3,2:1,4-0,Cardiff Arms Park,
"Sat, 08 Feb 1964",TO,,FRA v NZL,3-12,0:2,0-4,"Stade Colombes, Paris",
"Sat, 08 Feb 1964",5N,,ENG v IRE,5-18,1:4,0-5,"Twickenham, London",
"Sat, 22 Feb 1964",5N,,IRE v SCO,3-6,0:0,1-4,"Lansdowne Rd, Dublin",
"Sat, 22 Feb 1964",5N,,FRA v ENG,3-6,1:1,1-4,"Stade Colombes, Paris",
"Sat, 07 Mar 1964",5N,,IRE v WAL,6-15,0:3,0-4,"Lansdowne Rd, Dublin",
"Sat, 21 Mar 1964","5N,CA",,SCO v ENG,15-6,3:1,4-0,"Murrayfield, Edinburgh",
"Sat, 21 Mar 1964",5N,,WAL v FRA,11-11,1:1,2-2,Cardiff Arms Park,
"Sun, 29 Mar 1964",,,ITA v FRA,3-12,0:1,0-4,"Stade Comunale, Parma",
"Sat, 11 Apr 1964",5N,,FRA v IRE,27-6,6:1,5-0,"Stade Colombes, Paris",
"Sat, 23 May 1964",ST,,SAF v WAL,24-3,3:0,4-0,"Kings Park Stadium, Durban",
"Sat, 25 Jul 1964",ST,,SAF v FRA,6-8,1:1,1-4,Springs,
"Sat, 15 Aug 1964",BC,n,NZL v AUS,14-9,1:1,4-1,"Carisbrook, Dunedin",
"Sat, 22 Aug 1964",BC,n,NZL v AUS,18-3,4:1,5-0,"Lancaster Park, Christchurch",
"Sat, 29 Aug 1964",BC,n,NZL v AUS,5-20,1:2,0-4,"Athletic Park, Wellington",
"Sat, 17 Oct 1964",TO,,FRA v FIJ,21-3,5:1,5-0,"Stade Colombes, Paris",
"Sun, 29 Nov 1964",,,ROM v FRA,6-9,1:2,1-4,Bucharest,
"Sun, 09 Jan 1965",5N,,FRA v SCO,16-8,4:2,5-0,"Stade Colombes, Paris",
"Sun, 16 Jan 1965",5N,,WAL v ENG,14-3,3:0,4-0,Cardiff Arms Park,
"Sun, 23 Jan 1965",5N,,IRE v FRA,3-3,1:1,2-2,"Lansdowne Rd, Dublin",
"Sat, 06 Feb 1965",5N,,SCO v WAL,12-14,0:2,1-4,"Murrayfield, Edinburgh",
"Sat, 13 Feb 1965",5N,,IRE v ENG,5-0,1:0,4-1,"Lansdowne Rd, Dublin",
"Sat, 27 Feb 1965",5N,,SCO v IRE,6-16,0:3,0-4,"Murrayfield, Edinburgh",
"Sat, 27 Feb 1965",5N,,ENG v FRA,9-6,1:1,4-1,"Twickenham, London",
"Sat, 13 Mar 1965",5N,,WAL v IRE,14-8,2:1,4-0,Cardiff Arms Park,
"Sat, 20 Mar 1965","5N,CA",,ENG v SCO,3-3,1:0,2-2,"Twickenham, London",
"Sat, 27 Mar 1965",5N,,FRA v WAL,22-13,4:3,5-0,"Stade Colombes, Paris",
"Sat, 10 Apr 1965",TO,,IRE v SAF,9-6,1:1,4-1,"Lansdowne Rd, Dublin",
"Sat, 17 Apr 1965",TO,,SCO v SAF,8-5,1:1,4-1,"Murrayfield, Edinburgh",
"Sun, 18 Apr 1965",,,FRA v ITA,21-0,5:0,5-0,Pau,
"Sat, 19 Jun 1965",TO,,AUS v SAF,18-11,2:2,4-0,"Cricket Ground, Sydney",
"Sat, 26 Jun 1965",TO,,AUS v SAF,12-8,0:2,4-1,"Lang Park, Brisbane",
"Sat, 31 Jul 1965",TO,1,NZL v SAF,6-3,2:0,4-1,"Athletic Park, Wellington",
"Sat, 21 Aug 1965",TO,2,NZL v SAF,13-0,3:0,4-0,"Carisbrook, Dunedin",
"Sat, 04 Sep 1965",TO,3,NZL v SAF,16-19,3:4,1-5,"Lancaster Park, Christchurch",
"Sat, 18 Sep 1965",TO,4,NZL v SAF,20-3,5:0,5-0,"Eden Park, Auckland",
"Sun, 28 Nov 1965",,,FRA v ROM,8-3,2:0,4-1,Lyon,
"Wed, 08 Dec 1965",,,ITA v CZR,11-0,3:0,4-0,Livorno,
"Sun, 15 Jan 1966",5N,,SCO v FRA,3-3,1:0,2-2,"Murrayfield, Edinburgh",
"Sun, 15 Jan 1966",5N,,ENG v WAL,6-11,1:1,1-4,"Twickenham, London",
"Sun, 29 Jan 1966",5N,,FRA v IRE,11-6,2:0,4-1,"Stade Colombes, Paris",
"Sat, 05 Feb 1966",5N,,WAL v SCO,8-3,2:0,4-1,Cardiff Arms Park,
"Sat, 12 Feb 1966",5N,,ENG v IRE,6-6,1:1,2-2,"Twickenham, London",
"Sat, 26 Feb 1966",5N,,IRE v SCO,3-11,0:3,0-4,"Lansdowne Rd, Dublin",
"Sat, 26 Feb 1966",5N,,FRA v ENG,13-0,3:0,4-0,"Stade Colombes, Paris",
"Sat, 12 Mar 1966",5N,,IRE v WAL,9-6,1:1,4-1,"Lansdowne Rd, Dublin",
"Sat, 19 Mar 1966","5N,CA",,SCO v ENG,6-3,1:0,4-1,"Murrayfield, Edinburgh",
"Sat, 26 Mar 1966",5N,,WAL v FRA,9-8,1:2,4-1,Cardiff Arms Park,
"Sat, 09 Apr 1966",,,ITA v FRA,0-21,0:4,0-5,Naples,
"Sat, 28 May 1966",LT,1,AUS v LIO,8-11,1:2,1-4,"Cricket Ground, Sydney",
"Sat, 04 Jun 1966",LT,2,AUS v LIO,0-31,0:5,0-5,"Lang Park, Brisbane",
"Sat, 16 Jul 1966",LT,1,NZL v LIO,20-3,3:0,4-0,"Carisbrook, Dunedin",
"Sat, 06 Aug 1966",LT,2,NZL v LIO,16-12,3:0,4-1,"Athletic Park, Wellington",
"Sat, 27 Aug 1966",LT,3,NZL v LIO,19-6,3:2,4-0,"Lancaster Park, Christchurch",
"Sat, 10 Sep 1966",LT,4,NZL v LIO,24-11,4:2,5-0,"Eden Park, Auckland",
"Sun, 06 Nov 1966",,,ITA v ROM,3-0,0:0,4-1,L'Aquila,
"Sun, 27 Nov 1966",,,ROM v FRA,3-9,0:2,0-4,Bucharest,
"Sat, 03 Dec 1966",TO,,WAL v AUS,11-14,2:2,1-4,Cardiff Arms Park,
"Sat, 17 Dec 1966",TO,,SCO v AUS,11-5,2:1,4-0,"Murrayfield, Edinburgh",
"Sun, 07 Jan 1967",TO,,ENG v AUS,11-23,1:2,0-4,"Twickenham, London",
"Sun, 14 Jan 1967",5N,,FRA v SCO,8-9,2:0,1-4,"Stade Colombes, Paris",
"Sun, 21 Jan 1967",TO,,IRE v AUS,15-8,2:1,4-0,"Lansdowne Rd, Dublin",
"Sat, 04 Feb 1967",5N,,SCO v WAL,11-5,2:1,4-0,"Murrayfield, Edinburgh",
"Sat, 11 Feb 1967",TO,,FRA v AUS,20-14,1:2,4-0,"Stade Colombes, Paris",
"Sat, 11 Feb 1967",5N,,IRE v ENG,3-8,0:1,1-4,"Lansdowne Rd, Dublin",
"Sat, 25 Feb 1967",5N,,SCO v IRE,3-5,0:1,1-4,"Murrayfield, Edinburgh",
"Sat, 25 Feb 1967",5N,,ENG v FRA,12-16,0:2,1-4,"Twickenham, London",
"Sat, 11 Mar 1967",5N,,WAL v IRE,0-3,0:1,1-4,Cardiff Arms Park,
"Sat, 18 Mar 1967","5N,CA",,ENG v SCO,27-14,4:2,5-0,"Twickenham, London",
"Sun, 26 Mar 1967",,,FRA v ITA,60-13,11:3,5-0,Toulon,
"Sat, 01 Apr 1967",5N,,FRA v WAL,20-14,3:1,4-0,"Stade Colombes, Paris",
"Sat, 15 Apr 1967",5N,,IRE v FRA,6-11,1:1,1-4,"Lansdowne Rd, Dublin",
"Sat, 15 Apr 1967",5N,,WAL v ENG,34-21,5:3,5-0,Cardiff Arms Park,
"Sun, 07 May 1967",,,ITA v POR,6-3,0:0,4-1,Genoa,
"Sat, 13 May 1967",ST,,AUS v IRE,5-11,1:2,0-4,"Cricket Ground, Sydney",
"Sun, 14 May 1967",,,ROM v ITA,24-3,5:0,5-0,Bucharest,
"Sat, 15 Jul 1967",ST,,SAF v FRA,26-3,5:1,5-0,"Kings Park Stadium, Durban",
"Sat, 22 Jul 1967",ST,,SAF v FRA,16-3,3:0,4-0,"Vodacom Park, Bloemfontein",
"Sat, 29 Jul 1967",ST,,SAF v FRA,14-19,2:2,1-4,"Ellis Park, Johannesburg",
"Sat, 12 Aug 1967",,,SAF v FRA,6-6,0:1,2-2,"Newlands, Cape Town",
"Sat, 19 Aug 1967",BC,n,NZL v AUS,29-9,4:2,5-0,"Athletic Park, Wellington",
"Sat, 04 Nov 1967",TO,,ENG v NZL,11-23,2:5,0-5,"Twickenham, London",
"Sat, 11 Nov 1967",TO,,WAL v NZL,6-13,0:2,0-4,Cardiff Arms Park,
"Sat, 25 Nov 1967",TO,,FRA v NZL,15-21,1:4,0-5,"Stade Colombes, Paris",
"Sat, 02 Dec 1967",TO,,SCO v NZL,3-14,0:2,0-4,"Murrayfield, Edinburgh",
"Sun, 10 Dec 1967",,,FRA v ROM,11-3,1:0,4-0,Nantes,
"Sun, 13 Jan 1968",5N,,SCO v FRA,6-8,1:2,1-4,"Murrayfield, Edinburgh",
"Sun, 20 Jan 1968",5N,,ENG v WAL,11-11,2:2,2-2,"Twickenham, London",
"Sun, 27 Jan 1968",5N,,FRA v IRE,16-6,2:0,4-0,"Stade Colombes, Paris",
"Sat, 03 Feb 1968",5N,,WAL v SCO,5-0,1:0,4-1,Cardiff Arms Park,
"Sat, 10 Feb 1968",5N,,ENG v IRE,9-9,0:0,2-2,"Twickenham, London",
"Sat, 24 Feb 1968",5N,,IRE v SCO,14-6,3:0,4-0,"Lansdowne Rd, Dublin",
"Sat, 24 Feb 1968",5N,,FRA v ENG,14-9,1:0,4-1,"Stade Colombes, Paris",
"Sat, 09 Mar 1968",5N,,IRE v WAL,9-6,1:0,4-1,"Lansdowne Rd, Dublin",
"Sat, 16 Mar 1968","5N,CA",,SCO v ENG,6-8,0:1,1-4,"Murrayfield, Edinburgh",
"Sat, 23 Mar 1968",5N,,WAL v FRA,9-14,1:2,1-4,Cardiff Arms Park,
"Sun, 05 May 1968",,,CZR v FRA,6-19,0:5,0-5,Prague,
"Sun, 12 May 1968",,,POR v ITA,3-17,0:4,0-5,Lisbon,
"Sat, 08 Jun 1968",LT,1,SAF v LIO,25-20,3:1,4-1,"Loftus Versfeld, Pretoria",
"Sat, 15 Jun 1968",BC,n,AUS v NZL,11-27,1:6,0-5,"Cricket Ground, Sydney",
"Sat, 22 Jun 1968",LT,2,SAF v LIO,6-6,0:0,2-2,"Boet Erasmus, Pt Elizabeth",
"Sat, 22 Jun 1968",BC,n,AUS v NZL,18-19,1:3,1-4,"Ballymore, Brisbane",
"Sat, 13 Jul 1968",ST,,NZL v FRA,12-9,1:0,4-1,"Lancaster Park, Christchurch",
"Sat, 13 Jul 1968",LT,3,SAF v LIO,11-6,1:0,4-1,"Newlands, Cape Town",
"Sat, 27 Jul 1968",ST,,NZL v FRA,9-3,0:0,4-0,"Athletic Park, Wellington",
"Sat, 27 Jul 1968",LT,4,SAF v LIO,19-6,4:0,5-0,"Ellis Park, Johannesburg",
"Sat, 10 Aug 1968",ST,,NZL v FRA,19-12,2:3,4-0,"Eden Park, Auckland",
"Sat, 17 Aug 1968",TO,,AUS v FRA,11-10,1:2,4-1,"Cricket Ground, Sydney",
"Sat, 26 Oct 1968",TO,,IRE v AUS,10-3,2:1,4-0,"Lansdowne Rd, Dublin",
"Sat, 02 Nov 1968",TO,,SCO v AUS,9-3,1:0,4-0,"Murrayfield, Edinburgh",
"Sat, 09 Nov 1968",TO,,FRA v SAF,9-12,3:0,1-4,"Stade Municipal, Bordeaux",
"Sat, 16 Nov 1968",TO,,FRA v SAF,11-16,1:3,1-4,"Stade Colombes, Paris",
"Sun, 01 Dec 1968",,,ROM v FRA,15-14,0:1,4-1,Bucharest,
"Sun, 11 Jan 1969",5N,,FRA v SCO,3-6,0:1,1-4,"Stade Colombes, Paris",
"Sun, 25 Jan 1969",5N,,IRE v FRA,17-9,1:1,4-0,"Lansdowne Rd, Dublin",
"Sat, 01 Feb 1969",5N,,SCO v WAL,3-17,0:3,0-4,"Murrayfield, Edinburgh",
"Sat, 08 Feb 1969",5N,,IRE v ENG,17-15,2:1,4-1,"Lansdowne Rd, Dublin",
"Sat, 22 Feb 1969",5N,,SCO v IRE,0-16,0:4,0-5,"Murrayfield, Edinburgh",
"Sat, 22 Feb 1969",5N,,ENG v FRA,22-8,3:1,4-0,"Twickenham, London",
"Sat, 08 Mar 1969",5N,,WAL v IRE,24-11,4:1,5-0,Cardiff Arms Park,
"Sat, 15 Mar 1969","5N,CA",,ENG v SCO,8-3,2:0,4-1,"Twickenham, London",
"Sat, 22 Mar 1969",5N,,FRA v WAL,8-8,1:2,2-2,"Stade Colombes, Paris",
"Sat, 12 Apr 1969",5N,,WAL v ENG,30-9,5:0,5-0,Cardiff Arms Park,
"Sat, 31 May 1969",ST,1,NZL v WAL,19-0,4:0,5-0,"Lancaster Park, Christchurch",
"Sat, 14 Jun 1969",ST,2,NZL v WAL,33-12,3:2,4-0,"Eden Park, Auckland",
"Sat, 21 Jun 1969",ST,,AUS v WAL,16-19,2:3,1-4,"Cricket Ground, Sydney",
"Sat, 02 Aug 1969",TO,,SAF v AUS,30-11,5:1,5-0,"Ellis Park, Johannesburg",
"Sat, 16 Aug 1969",TO,,SAF v AUS,16-9,3:0,4-0,"Kings Park Stadium, Durban",
"Sat, 06 Sep 1969",TO,,SAF v AUS,11-3,2:0,4-0,"Newlands, Cape Town",
"Sat, 20 Sep 1969",TO,,SAF v AUS,19-8,3:1,4-0,"Vodacom Park, Bloemfontein",
"Sat, 06 Dec 1969",TO,,SCO v SAF,6-3,1:0,4-1,"Murrayfield, Edinburgh",
"Sun, 14 Dec 1969",,,FRA v ROM,14-9,1:0,4-1,Tarbes,
"Sat, 20 Dec 1969",TO,,ENG v SAF,11-8,2:1,4-1,"Twickenham, London",
"Sat, 10 Jan 1970",TO,,IRE v SAF,8-8,1:1,2-2,"Lansdowne Rd, Dublin",
"Sat, 10 Jan 1970",5N,,SCO v FRA,9-11,1:2,1-4,"Murrayfield, Edinburgh",
"Sat, 24 Jan 1970",TO,,WAL v SAF,6-6,1:1,2-2,Cardiff Arms Park,
"Sat, 24 Jan 1970",5N,,FRA v IRE,8-0,1:0,4-0,"Stade Colombes, Paris",
"Sat, 07 Feb 1970",5N,,WAL v SCO,18-9,4:1,5-0,Cardiff Arms Park,
"Sat, 14 Feb 1970",5N,,ENG v IRE,9-3,1:0,4-0,"Twickenham, London",
"Sat, 28 Feb 1970",5N,,IRE v SCO,16-11,4:2,5-1,"Lansdowne Rd, Dublin",
"Sat, 28 Feb 1970",5N,,ENG v WAL,13-17,2:4,1-5,"Twickenham, London",
"Sat, 14 Mar 1970",5N,,IRE v WAL,14-0,2:0,4-0,"Lansdowne Rd, Dublin",
"Sat, 21 Mar 1970","5N,CA",,SCO v ENG,14-5,2:1,4-0,"Murrayfield, Edinburgh",
"Sat, 04 Apr 1970",5N,,WAL v FRA,11-6,1:2,4-1,Cardiff Arms Park,
"Sat, 18 Apr 1970",5N,,FRA v ENG,35-13,6:2,5-0,"Stade Colombes, Paris",
"Sat, 06 Jun 1970",ST,,AUS v SCO,23-3,6:0,5-0,"Cricket Ground, Sydney",
"Sat, 25 Jul 1970",TO,1,SAF v NZL,17-6,2:1,4-0,"Loftus Versfeld, Pretoria",
"Sat, 08 Aug 1970",TO,2,SAF v NZL,8-9,1:2,1-4,"Newlands, Cape Town",
"Sat, 29 Aug 1970",TO,3,SAF v NZL,14-3,2:0,4-0,"Boet Erasmus, Pt Elizabeth",
"Sat, 12 Sep 1970",TO,4,SAF v NZL,20-17,2:1,4-1,"Ellis Park, Johannesburg",
"Sun, 13 Sep 1970",TO,1,ARG v IRE,8-3,2:1,4-1,"FC Oeste, Buenos Aires",
"Sun, 20 Sep 1970",TO,2,ARG v IRE,6-3,0:0,4-1,"FC Oeste, Buenos Aires",
"Sun, 29 Nov 1970",,,ROM v FRA,3-14,0:1,0-4,Bucharest,
"Sat, 16 Jan 1971",5N,,WAL v ENG,22-6,3:1,4-0,Cardiff Arms Park,
"Sat, 16 Jan 1971",5N,,FRA v SCO,13-8,2:1,4-1,"Stade Colombes, Paris",
"Sat, 30 Jan 1971",5N,,IRE v FRA,9-9,1:0,2-2,"Lansdowne Rd, Dublin",
"Sat, 06 Feb 1971",5N,,SCO v WAL,18-19,2:4,1-5,"Murrayfield, Edinburgh",
"Sat, 13 Feb 1971",5N,,IRE v ENG,6-9,2:0,1-4,"Lansdowne Rd, Dublin",
"Sat, 27 Feb 1971",5N,,SCO v IRE,5-17,1:3,0-4,"Murrayfield, Edinburgh",
"Sat, 27 Feb 1971",5N,,ENG v FRA,14-14,1:2,2-2,"Twickenham, London",
"Sat, 13 Mar 1971",5N,,WAL v IRE,23-9,4:0,5-0,Cardiff Arms Park,
"Sat, 20 Mar 1971","5N,CA",,ENG v SCO,15-16,2:3,1-4,"Twickenham, London",
"Sat, 27 Mar 1971",5N,,FRA v WAL,5-9,1:2,1-4,"Stade Colombes, Paris",
"Sat, 27 Mar 1971",,,SCO v ENG,26-6,5:0,5-0,"Murrayfield, Edinburgh",
"Sat, 12 Jun 1971",ST,,SAF v FRA,22-9,2:1,4-0,"Vodacom Park, Bloemfontein",
"Sat, 19 Jun 1971",ST,,SAF v FRA,8-8,1:1,2-2,"Kings Park Stadium, Durban",
"Sat, 26 Jun 1971",LT,1,NZL v LIO,3-9,0:1,0-4,"Carisbrook, Dunedin",
"Sat, 10 Jul 1971",LT,2,NZL v LIO,22-12,5:2,5-0,"Lancaster Park, Christchurch",
"Sat, 17 Jul 1971",TO,,AUS v SAF,11-19,1:3,0-4,"Cricket Ground, Sydney",
"Sat, 31 Jul 1971",TO,,AUS v SAF,6-14,0:3,0-4,"Exhibition Ground, Brisbane",
"Sat, 31 Jul 1971",LT,3,NZL v LIO,3-13,1:2,0-4,"Athletic Park, Wellington",
"Sat, 07 Aug 1971",TO,,AUS v SAF,6-18,1:3,0-4,"Cricket Ground, Sydney",
"Sat, 14 Aug 1971",LT,4,NZL v LIO,14-14,2:1,2-2,"Eden Park, Auckland",
"Sat, 20 Nov 1971",TO,,FRA v AUS,11-13,2:2,1-4,Stade Toulouse,
"Sat, 27 Nov 1971",TO,,FRA v AUS,18-9,1:0,4-0,"Stade Colombes, Paris",
"Sat, 11 Dec 1971",,,FRA v ROM,31-12,4:0,5-0,"Parc Sauclieres, Beziers",
"Sat, 15 Jan 1972",5N,,SCO v FRA,20-9,3:1,4-0,"Murrayfield, Edinburgh",
"Sat, 15 Jan 1972",5N,,ENG v WAL,3-12,0:1,0-4,"Twickenham, London",
"Sat, 29 Jan 1972",5N,,FRA v IRE,9-14,1:2,1-4,"Stade Colombes, Paris",
"Sat, 05 Feb 1972",5N,,WAL v SCO,35-12,5:1,5-0,Cardiff Arms Park,
"Sat, 12 Feb 1972",5N,,ENG v IRE,12-16,1:2,1-4,"Twickenham, London",
"Sat, 26 Feb 1972",5N,,FRA v ENG,37-12,6:1,5-0,"Stade Colombes, Paris",
"Sat, 18 Mar 1972","5N,CA",,SCO v ENG,23-9,2:0,4-0,"Murrayfield, Edinburgh",
"Sat, 25 Mar 1972",5N,,WAL v FRA,20-6,2:0,4-0,Cardiff Arms Park,
"Sat, 29 Apr 1972",,,IRE v FRA,24-14,3:3,4-0,"Lansdowne Rd, Dublin",
"Sat, 03 Jun 1972",ST,,SAF v ENG,9-18,0:1,0-4,"Ellis Park, Johannesburg",
"Sat, 17 Jun 1972",ST,,AUS v FRA,14-14,2:3,2-2,"Cricket Ground, Sydney",
"Sun, 25 Jun 1972",ST,,AUS v FRA,15-16,0:3,1-4,"Ballymore, Brisbane",
"Sat, 19 Aug 1972",BC,n,NZL v AUS,29-6,5:0,5-0,"Athletic Park, Wellington",
"Sat, 02 Sep 1972",BC,n,NZL v AUS,30-17,5:3,5-0,"Lancaster Park, Christchurch",
"Sat, 16 Sep 1972",BC,n,NZL v AUS,38-3,6:0,5-0,"Eden Park, Auckland",
"Tue, 19 Sep 1972",TO,,FIJ v AUS,19-21,2:4,1-5,"Buckhurst Park, Suva",
"Sun, 26 Nov 1972",,,ROM v FRA,6-15,0:1,0-4,Constanta,
"Sat, 02 Dec 1972",TO,,WAL v NZL,16-19,1:1,1-4,Cardiff Arms Park,
"Sat, 16 Dec 1972",TO,,SCO v NZL,9-14,0:3,1-4,"Murrayfield, Edinburgh",
"Sat, 06 Jan 1973",TO,,ENG v NZL,0-9,0:1,0-4,"Twickenham, London",
"Sat, 13 Jan 1973",5N,,FRA v SCO,16-13,1:1,4-1,"Parc des Princes, Paris",
"Sat, 20 Jan 1973",TO,,IRE v NZL,10-10,1:2,2-2,"Lansdowne Rd, Dublin",
"Sat, 20 Jan 1973",5N,,WAL v ENG,25-9,5:0,5-0,Cardiff Arms Park,
"Sat, 03 Feb 1973",5N,,SCO v WAL,10-9,2:0,4-1,"Murrayfield, Edinburgh",
"Sat, 10 Feb 1973",TO,,FRA v NZL,13-6,2:0,4-0,"Parc des Princes, Paris",
"Sat, 10 Feb 1973",5N,,IRE v ENG,18-9,2:1,4-0,"Lansdowne Rd, Dublin",
"Sat, 24 Feb 1973",5N,,SCO v IRE,19-14,1:2,4-1,"Murrayfield, Edinburgh",
"Sat, 24 Feb 1973",5N,,ENG v FRA,14-6,2:1,4-0,"Twickenham, London",
"Sat, 10 Mar 1973",5N,,WAL v IRE,16-12,2:1,4-1,Cardiff Arms Park,
"Sat, 17 Mar 1973","5N,CA",,ENG v SCO,20-13,4:2,5-0,"Twickenham, London",
"Sat, 24 Mar 1973",5N,,FRA v WAL,12-3,0:0,4-0,"Parc des Princes, Paris",
"Sat, 14 Apr 1973",5N,,IRE v FRA,6-4,0:1,4-1,"Lansdowne Rd, Dublin",
"Sat, 23 Jun 1973",TO,,AUS v TON,30-12,5:0,5-0,"Cricket Ground, Sydney",
"Sat, 30 Jun 1973",TO,,AUS v TON,11-16,2:0,1-4,"Ballymore, Brisbane",
