Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut.
"Sat, 21 Feb 1885",5N,,IRE v SCO,0-1,0:1,1-4,"Ormeau, Belfast",
"Sat, 07 Mar 1885",5N,,SCO v IRE,5-0,3:0,4-0,"Raeburn Place, Edinburgh",
"Sun, 02 Jan 1886",5N,,ENG v WAL,5-3,2:1,4-1,"Rectory Ground, Blackheath",
"Sun, 09 Jan 1886",5N,,WAL v SCO,0-7,0:3,0-4,Cardiff Arms Park,
"Sat, 06 Feb 1886",5N,,IRE v ENG,0-1,0:1,1-4,"Lansdowne Rd, Dublin",
"Sat, 20 Feb 1886",5N,,SCO v IRE,14-0,5:0,5-0,"Raeburn Place, Edinburgh",
"Sat, 13 Mar 1886","5N,CA",,SCO v ENG,0-0,0:0,2-2,"Raeburn Place, Edinburgh",
"Sun, 08 Jan 1887",5N,,WAL v ENG,0-0,0:0,2-2,Llanelli,
"Sat, 05 Feb 1887",5N,,IRE v ENG,6-0,2:0,4-0,"Lansdowne Rd, Dublin",
"Sat, 19 Feb 1887",5N,,IRE v SCO,0-8,0:3,0-4,"Ormeau, Belfast",
"Sat, 26 Feb 1887",5N,,SCO v WAL,20-0,12:0,5-0,"Raeburn Place, Edinburgh",
"Sat, 05 Mar 1887","5N,CA",,ENG v SCO,1-1,1:1,2-2,"Whalley Range, Manchester",
"Sat, 12 Mar 1887",5N,,WAL v IRE,4-3,1:3,4-1,Birkenhead Park,Y
"Sat, 04 Feb 1888",5N,,WAL v SCO,1-0,1:0,4-1,Newport,
"Sat, 03 Mar 1888",5N,,IRE v WAL,7-0,2:0,4-0,"Lansdowne Rd, Dublin",
"Sat, 10 Mar 1888",5N,,SCO v IRE,3-0,1:0,4-1,"Raeburn Place, Edinburgh",
"Sat, 02 Feb 1889",5N,,SCO v WAL,2-0,2:0,4-1,"Raeburn Place, Edinburgh",
"Sat, 16 Feb 1889",5N,,IRE v SCO,0-3,0:0,1-4,"Ormeau, Belfast",
"Sat, 02 Mar 1889",5N,,WAL v IRE,0-2,0:2,1-4,Swansea,
"Sat, 01 Feb 1890",5N,,WAL v SCO,2-8,1:3,0-4,Cardiff Arms Park,
"Sat, 15 Feb 1890",5N,,ENG v WAL,0-1,0:1,1-4,Dewsbury,
"Sat, 22 Feb 1890",5N,,SCO v IRE,5-0,1:0,4-0,"Raeburn Place, Edinburgh",
"Sat, 01 Mar 1890","5N,CA",,SCO v ENG,0-6,0:2,0-4,"Raeburn Place, Edinburgh",
"Sat, 01 Mar 1890",5N,,IRE v WAL,3-3,1:1,2-2,"Lansdowne Rd, Dublin",
"Sat, 15 Mar 1890",5N,,ENG v IRE,3-0,3:0,4-1,"Rectory Ground, Blackheath",
"Sun, 03 Jan 1891",5N,,WAL v ENG,3-7,1:3,0-4,Newport,
"Sat, 07 Feb 1891",5N,,IRE v ENG,0-9,0:5,0-5,"Lansdowne Rd, Dublin",
"Sat, 07 Feb 1891",5N,,SCO v WAL,15-0,7:0,5-0,"Raeburn Place, Edinburgh",
"Sat, 21 Feb 1891",5N,,IRE v SCO,0-14,0:4,0-5,"Ballynafeigh, Belfast",
"Sat, 07 Mar 1891","5N,CA",,ENG v SCO,3-9,1:2,0-4,Richmond,
"Sat, 07 Mar 1891",5N,,WAL v IRE,6-4,1:1,4-1,Llanelli,
"Thu, 30 Jul 1891",LT,1,SAF v LIO,0-4,0:2,1-4,"Crusader, Pt Elizabeth",
"Sat, 29 Aug 1891",LT,2,SAF v LIO,0-3,0:0,1-4,"Eclectic CG, Kimberley",
